lam_N,mu,pole_index,re,im,G_exact_DC,G_exact_DC_imag,mark,D_star,N_star,A_star,S_star
0.5108023252908401,-3.0,2,-0.9999665877984905,0.0,0.0026883553317009127,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
0.5108023252908401,-3.0,3,-193.7182115964048,0.0,0.0026883553317009127,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
0.5218380310450585,6.0,0,-0.09999999999997083,0.0,-1.255252592821627e-05,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.5218380310450585,6.0,1,-0.10000139544825869,0.0,-1.255252592821627e-05,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.5218380310450585,6.0,2,-0.9999985980295006,0.0,-1.255252592821627e-05,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.5218380310450585,6.0,3,-193.55586110475633,0.0,-1.255252592821627e-05,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.5218380310450585,-3.0,0,-0.0949226994142643,0.0,0.0031719801272432346,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.5218380310450585,-3.0,1,-0.10706714096833103,0.0,0.0031719801272432346,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.5218380310450585,-3.0,2,-0.9999605585614622,0.0,0.0031719801272432346,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.5218380310450585,-3.0,3,-193.55391069929007,0.0,0.0031719801272432346,0.0,,48.975723707337906,0.0026960834605940062,0.4753534991687081,2.0087592637464624
0.533112159366019,6.0,0,-0.09999999999993968,0.0,-1.484934302696173e-05,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.533112159366019,6.0,1,-0.10000165078378054,0.0,-1.484934302696173e-05,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.533112159366019,6.0,2,-0.9999983414932644,0.0,-1.484934302696173e-05,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.533112159366019,6.0,3,-193.373378399939,0.0,-1.484934302696173e-05,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.533112159366019,-3.0,0,-0.09442890620864074,0.0,0.003747227417893326,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.533112159366019,-3.0,1,-0.10761212836321939,0.0,0.003747227417893326,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.533112159366019,-3.0,2,-0.9999533832377969,0.0,0.003747227417893326,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.533112159366019,-3.0,3,-193.37138397440648,0.0,0.003747227417893326,0.0,,48.92951554099675,0.002756931198254028,0.48562310847754353,1.9077982010469652
0.5446298612899668,6.0,0,-0.09999999999997077,0.0,-1.7589104168562462e-05,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5446298612899668,6.0,1,-0.10000195536145434,0.0,-1.7589104168562462e-05,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5446298612899668,6.0,2,-0.9999980354809223,0.0,-1.7589104168562462e-05,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5446298612899668,6.0,3,-193.16949140344607,0.0,-1.7589104168562462e-05,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5446298612899668,-3.0,0,-0.0938866225264322,0.0,0.004431966404221731,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5446298612899668,-3.0,1,-0.10820819808256431,0.0,0.004431966404221731,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5446298612899668,-3.0,2,-0.9999448374150743,0.0,0.004431966404221731,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5446298612899668,-3.0,3,-193.16745173626438,0.0,0.004431966404221731,0.0,,48.87788828877585,0.002819467113908314,0.49611455505895535,1.8107619296184758
0.5563963991394856,6.0,0,-0.09999999999993968,0.0,-2.0860242912851126e-05,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5563963991394856,6.0,1,-0.10000231901276037,0.0,-2.0860242912851126e-05,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5563963991394856,6.0,2,-0.9999976701135812,0.0,-2.0860242912851126e-05,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5563963991394856,6.0,3,-192.94041428022462,0.0,-2.0860242912851126e-05,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5563963991394856,-3.0,0,-0.09329121138201897,0.0,0.005247584979410868,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5563963991394856,-3.0,1,-0.10886033555562503,0.0,0.005247584979410868,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5563963991394856,-3.0,2,-0.9999346522625662,0.0,0.005247584979410868,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5563963991394856,-3.0,3,-192.9383280701505,0.0,0.005247584979410868,0.0,,48.81988349330349,0.002883801233919972,0.50683262492606,1.7176139067355702
0.5684171489277993,6.0,0,-0.10000000000000195,0.0,-2.4769274332103244e-05,0.0,,48.754359988426046,0.002950062119472389,0.5177822060195106,1.6283051281684735
0.5684171489277993,6.0,1,-0.10000275357913242,0.0,-2.4769274332103244e-05,0.0,,48.754359988426046,0.002950062119472389,0.5177822060195106,1.6283051281684735
0.5684171489277993,6.0,2,-0.9999972334920644,0.0,-2.4769274332103244e-05,0.0,,48.754359988426046,0.002950062119472389,0.5177822060195106,1.6283051281684735
0.5684171489277993,6.0,3,-192.6816395075894,0.0,-2.4769274332103244e-05,0.0,,48.754359988426046,0.002950062119472389,0.5177822060195106,1.6283051281684735
0.5684171489277993,-3.0,0,-0.09263762804262889,0.0,0.006219672245128866,0.0,,48.754359988426046,0.002950062119472389,0.5177822060195106,1.6283051281684735
0.5684171489277993,-3.0,1,-0.10957400047128693,0.0,0.006219672245128866,0.0,,48.754359988426046,0.002950062119472389,0.5177822060195106,1.6283051281684735
