m,n,mu,k1,k2,lambda_max
10,4,-0.7320508075688775,2.6179938779914944,1.0471975511965976,-0.010704144277768966
10,5,-0.6967746271587945,2.6179938779914944,1.3089969389957472,-0.011999736876900969
10,6,-0.7320508075688774,2.6179938779914944,1.5707963267948966,-0.010704144277768966
10,7,-0.835475335400824,2.6179938779914944,1.832595714594046,-0.006810268857101523
10,8,-0.9999999999999998,2.6179938779914944,2.0943951023931953,-0.0003220774511202837
10,9,-1.2144127173638362,2.6179938779914944,2.356194490192345,0.00867246734135251
10,10,-1.4641016151377548,2.6179938779914944,2.6179938779914944,0.01989695919537538
10,11,-1.7320508075688774,2.6179938779914944,2.8797932657906435,0.03279249405634523
10,12,-2.0,2.6179938779914944,3.141592653589793,0.04649254285826247
10,13,-2.249688897773919,2.6179938779914944,3.4033920413889427,0.059900167527295045
10,14,-2.4641016151377544,2.6179938779914944,3.665191429188092,0.07184240011453474
10,15,-2.6286262797369306,2.6179938779914944,3.926990816987241,0.08123934093859157
10,16,-2.7320508075688776,2.6179938779914944,4.1887902047863905,0.08723847363204044
10,17,-2.7673269879789606,2.6179938779914944,4.4505895925855405,0.08929964309594025
10,18,-2.7320508075688776,2.6179938779914944,4.71238898038469,0.08723847363204044
10,19,-2.628626279736931,2.6179938779914944,4.974188368183839,0.08123934093859154
10,20,-2.4641016151377544,2.6179938779914944,5.235987755982989,0.07184240011453474
10,21,-2.249688897773919,2.6179938779914944,5.497787143782138,0.059900167527295045
10,22,-2.000000000000001,2.6179938779914944,5.759586531581287,0.046492542858262514
10,23,-1.7320508075688783,2.6179938779914944,6.021385919380436,0.0327924940563453
11,0,-1.8637033051562728,2.8797932657906435,0.0,0.03942881991923157
11,1,-1.7320508075688767,2.8797932657906435,0.2617993877991494,0.032792494056344955
11,2,-1.614014407382354,2.8797932657906435,0.5235987755982988,0.027007582498271655
11,3,-1.5176380902050408,2.8797932657906435,0.7853981633974483,0.022405170449990835
11,4,-1.4494897427831774,2.8797932657906435,1.0471975511965976,0.01921849070677993
11,5,-1.4142135623730943,2.8797932657906435,1.3089969389957472,0.017591416465123588
11,6,-1.4142135623730943,2.8797932657906435,1.5707963267948966,0.017591416465123588
11,7,-1.4494897427831777,2.8797932657906435,1.832595714594046,0.01921849070678007
11,8,-1.5176380902050408,2.8797932657906435,2.0943951023931953,0.022405170449990835
11,9,-1.614014407382354,2.8797932657906435,2.356194490192345,0.027007582498271655
11,10,-1.7320508075688774,2.8797932657906435,2.6179938779914944,0.03279249405634523
11,11,-1.8637033051562728,2.8797932657906435,2.8797932657906435,0.03942881991923157
11,12,-2.0,2.8797932657906435,3.141592653589793,0.04649254285826247
11,13,-2.131652497587396,2.8797932657906435,3.4033920413889427,0.05349028499529471
11,14,-2.249688897773919,2.8797932657906435,3.665191429188092,0.059900167527295045
11,15,-2.3460652149512313,2.8797932657906435,3.926990816987241,0.06522261999292048
11,16,-2.4142135623730954,2.8797932657906435,4.1887902047863905,0.06903147136964619
11,17,-2.4494897427831788,2.8797932657906435,4.4505895925855405,0.07101716285719993
11,18,-2.4494897427831788,2.8797932657906435,4.71238898038469,0.07101716285719993
11,19,-2.4142135623730954,2.8797932657906435,4.974188368183839,0.06903147136964619
11,20,-2.3460652149512318,2.8797932657906435,5.235987755982989,0.06522261999292045
11,21,-2.249688897773919,2.8797932657906435,5.497787143782138,0.059900167527295045
11,22,-2.131652497587396,2.8797932657906435,5.759586531581287,0.05349028499529471
11,23,-2.0,2.8797932657906435,6.021385919380436,0.04649254285826247
12,0,-2.0,3.141592653589793,0.0,0.04649254285826247
12,1,-1.9999999999999998,3.141592653589793,0.2617993877991494,0.04649254285826247
12,2,-2.0,3.141592653589793,0.5235987755982988,0.04649254285826247
12,3,-1.9999999999999998,3.141592653589793,0.7853981633974483,0.04649254285826247
12,4,-2.0,3.141592653589793,1.0471975511965976,0.04649254285826247
12,5,-1.9999999999999998,3.141592653589793,1.3089969389957472,0.04649254285826247
12,6,-1.9999999999999996,3.141592653589793,1.5707963267948966,0.046492542858262445
12,7,-2.0,3.141592653589793,1.832595714594046,0.04649254285826247
12,8,-1.9999999999999998,3.141592653589793,2.0943951023931953,0.04649254285826247
12,9,-1.9999999999999998,3.141592653589793,2.356194490192345,0.04649254285826247
12,10,-2.0,3.141592653589793,2.6179938779914944,0.04649254285826247
12,11,-2.0,3.141592653589793,2.8797932657906435,0.04649254285826247
12,12,-2.0,3.141592653589793,3.141592653589793,0.04649254285826247
12,13,-2.0,3.141592653589793,3.4033920413889427,0.04649254285826247
12,14,-2.0,3.141592653589793,3.665191429188092,0.04649254285826247
12,15,-2.0,3.141592653589793,3.926990816987241,0.04649254285826247
12,16,-2.0,3.141592653589793,4.1887902047863905,0.04649254285826247
12,17,-2.0000000000000004,3.141592653589793,4.4505895925855405,0.0464925428582625
12,18,-2.0000000000000004,3.141592653589793,4.71238898038469,0.0464925428582625
12,19,-2.0,3.141592653589793,4.974188368183839,0.04649254285826247
12,20,-2.0,3.141592653589793,5.235987755982989,0.04649254285826247
12,21,-2.0,3.141592653589793,5.497787143782138,0.04649254285826247
12,22,-2.0,3.141592653589793,5.759586531581287,0.04649254285826247
12,23,-2.0,3.141592653589793,6.021385919380436,0.04649254285826247
13,0,-1.8637033051562732,3.4033920413889427,0.0,0.0394288199192316
13,1,-2.0,3.4033920413889427,0.2617993877991494,0.04649254285826247
13,2,-2.131652497587396,3.4033920413889427,0.5235987755982988,0.05349028499529471
13,3,-2.249688897773919,3.4033920413889427,0.7853981633974483,0.059900167527295045
13,4,-2.3460652149512313,3.4033920413889427,1.0471975511965976,0.06522261999292048
13,5,-2.414213562373096,3.4033920413889427,1.3089969389957472,0.06903147136964591
13,6,-2.449489742783178,3.4033920413889427,1.5707963267948966,0.0710171628571996
13,7,-2.4494897427831783,3.4033920413889427,1.832595714594046,0.07101716285719993
13,8,-2.4142135623730954,3.4033920413889427,2.0943951023931953,0.06903147136964619
13,9,-2.3460652149512313,3.4033920413889427,2.356194490192345,0.06522261999292048
13,10,-2.249688897773919,3.4033920413889427,2.6179938779914944,0.059900167527295045
13,11,-2.131652497587396,3.4033920413889427,2.8797932657906435,0.05349028499529471
13,12,-2.0,3.4033920413889427,3.141592653589793,0.04649254285826247
13,13,-1.8637033051562732,3.4033920413889427,3.4033920413889427,0.0394288199192316
13,14,-1.7320508075688774,3.4033920413889427,3.665191429188092,0.03279249405634523
13,15,-1.6140144073823544,3.4033920413889427,3.926990816987241,0.0270075824982718
13,16,-1.5176380902050417,3.4033920413889427,4.1887902047863905,0.02240517044999101
13,17,-1.449489742783178,3.4033920413889427,4.4505895925855405,0.01921849070677994
13,18,-1.4142135623730951,3.4033920413889427,4.71238898038469,0.017591416465123518
13,19,-1.414213562373095,3.4033920413889427,4.974188368183839,0.017591416465123518
13,20,-1.449489742783178,3.4033920413889427,5.235987755982989,0.01921849070677994
13,21,-1.5176380902050415,3.4033920413889427,5.497787143782138,0.022405170449991123
13,22,-1.6140144073823541,3.4033920413889427,5.759586531581287,0.0270075824982718
13,23,-1.732050807568877,3.4033920413889427,6.021385919380436,0.032792494056344844
14,0,-1.4641016151377553,3.665191429188092,0.0,0.01989695919537538
14,1,-1.7320508075688779,3.665191429188092,0.2617993877991494,0.03279249405634494
14,2,-2.0,3.665191429188092,0.5235987755982988,0.04649254285826247
14,3,-2.249688897773919,3.665191429188092,0.7853981633974483,0.059900167527295045
14,4,-2.4641016151377544,3.665191429188092,1.0471975511965976,0.07184240011453474
14,5,-2.628626279736931,3.665191429188092,1.3089969389957472,0.08123934093859154
14,6,-2.7320508075688767,3.665191429188092,1.5707963267948966,0.08723847363204033
14,7,-2.7673269879789606,3.665191429188092,1.832595714594046,0.08929964309594025
14,8,-2.732050807568877,3.665191429188092,2.0943951023931953,0.08723847363204043
14,9,-2.6286262797369306,3.665191429188092,2.356194490192345,0.08123934093859157
14,10,-2.4641016151377544,3.665191429188092,2.6179938779914944,0.07184240011453474
14,11,-2.249688897773919,3.665191429188092,2.8797932657906435,0.059900167527295045
14,12,-2.0,3.665191429188092,3.141592653589793,0.04649254285826247
