pair,param_x,param_y,x,y,n_branches,classification,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,2.4583333333333335,1,stable_homogeneous,-0.08094385808729965,-0.09999999999997086,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,2.666666666666667,1,stable_homogeneous,-0.07353756818411039,-0.10000000000003954,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,2.875,1,stable_homogeneous,-0.06393448875424525,-0.10000000000000808,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,3.0833333333333335,1,stable_homogeneous,-0.05200233632122222,-0.10000000000007012,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,3.291666666666667,1,stable_homogeneous,-0.038083229998782796,-0.0999999999999922,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,3.5,1,stable_homogeneous,-0.023175165663062446,-0.10000000000000826,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,3.7083333333333335,1,stable_homogeneous,-0.008726369728108176,-0.09999999999997894,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,3.916666666666667,1,nonuniform_instability,0.004033671233334118,-0.09999999999998653,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,4.125,1,nonuniform_instability,0.014742862709808638,-0.09999999999999128,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,4.333333333333334,1,nonuniform_instability,0.024097501385307175,-0.09999999999999978,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,4.541666666666667,1,nonuniform_instability,0.03391161765557279,-0.10000000000000173,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,4.75,1,nonuniform_instability,0.04742548801329775,-0.10000000000000123,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,4.958333333333334,1,nonuniform_instability,0.06762603506370739,-0.09999999999999946,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,5.166666666666667,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,5.375,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,5.583333333333334,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,5.791666666666667,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,0.8672488792828036,6.0,1,nonuniform_instability,0.21217786172907607,-0.09999999999999992,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,1.0,1,stable_homogeneous,-0.09874660469652895,-0.10000000000003302,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,1.2083333333333333,1,stable_homogeneous,-0.09770837840103383,-0.10000000000000238,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,1.4166666666666667,1,stable_homogeneous,-0.09607365726993808,-0.09999999999997072,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,1.625,1,stable_homogeneous,-0.09360010737077323,-0.09999999999997061,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,1.8333333333333335,1,stable_homogeneous,-0.08995184934209832,-0.09999999999997088,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,2.041666666666667,1,stable_homogeneous,-0.08467822709690662,-0.099999999999971,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,2.25,1,stable_homogeneous,-0.07722861277445055,-0.10000000000003975,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,2.4583333333333335,1,stable_homogeneous,-0.06706377388729062,-0.10000000000007032,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,2.666666666666667,1,stable_homogeneous,-0.053958027363094775,-0.10000000000003909,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,2.875,1,stable_homogeneous,-0.03849648895971859,-0.09999999999997733,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,3.0833333333333335,1,stable_homogeneous,-0.02236395052363061,-0.099999999999993,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,3.291666666666667,1,stable_homogeneous,-0.007691349000398668,-0.10000000000000234,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,3.5,1,nonuniform_instability,0.004340048876576489,-0.10000000000000213,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,3.7083333333333335,1,nonuniform_instability,0.014319361522121437,-0.10000000000000535,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,3.916666666666667,1,nonuniform_instability,0.025012275446790952,-0.10000000000000088,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,4.125,1,nonuniform_instability,0.042388232398233576,-0.09999999999999884,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,4.333333333333334,1,nonuniform_instability,0.06954344302535206,-0.09999999999999976,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,4.541666666666667,1,nonuniform_instability,0.10260308130960383,-0.10000000000000013,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,4.75,1,nonuniform_instability,0.13748850496909093,-0.10000000000000017,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,4.958333333333334,1,nonuniform_instability,0.17144211117683936,-0.10000000000000017,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,5.166666666666667,1,nonuniform_instability,0.2031242884202584,-0.10000000000000021,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,5.375,1,nonuniform_instability,0.23219831354220816,-0.0999999999999997,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,5.583333333333334,1,nonuniform_instability,0.2588109387084508,-0.10000000000000009,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,5.791666666666667,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.0207847284895002,6.0,1,nonuniform_instability,0.30590055786470205,-0.0999999999999998,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,1.0,1,stable_homogeneous,-0.09841720335016539,-0.09999999999993983,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,1.2083333333333333,1,stable_homogeneous,-0.09690818202098313,-0.10000000000003341,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,1.4166666666666667,1,stable_homogeneous,-0.09440598470406887,-0.10000000000009578,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,1.625,1,stable_homogeneous,-0.09045034242683714,-0.10000000000000206,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,1.8333333333333335,1,stable_homogeneous,-0.08440436448824175,-0.10000000000003324,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,2.041666666666667,1,stable_homogeneous,-0.07549033403330227,-0.10000000000003971,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,2.25,1,stable_homogeneous,-0.06306012717997596,-0.10000000000000799,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,2.4583333333333335,1,stable_homogeneous,-0.04729025775873357,-0.10000000000005513,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,2.666666666666667,1,stable_homogeneous,-0.029997900400497126,-0.10000000000002379,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,2.875,1,stable_homogeneous,-0.014162622981054168,-0.10000000000001091,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,3.0833333333333335,1,stable_homogeneous,-0.0016610646999256234,-0.10000000000000249,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,3.291666666666667,1,nonuniform_instability,0.00841630064100401,-0.09999999999999952,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,3.5,1,nonuniform_instability,0.02165541746964165,-0.10000000000000038,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,3.7083333333333335,1,nonuniform_instability,0.0476828951688264,-0.09999999999999983,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,3.916666666666667,1,nonuniform_instability,0.08347653072876532,-0.10000000000000026,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,4.125,1,nonuniform_instability,0.12221346230866084,-0.09999999999999985,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,4.333333333333334,1,nonuniform_instability,0.15946041380423778,-0.09999999999999974,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,4.541666666666667,1,nonuniform_instability,0.19341401396413188,-0.10000000000000003,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,4.75,1,nonuniform_instability,0.22391352891668803,-0.09999999999999974,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,4.958333333333334,1,nonuniform_instability,0.2513954171619728,-0.1000000000000001,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,5.166666666666667,1,nonuniform_instability,0.2763935167834808,-0.09999999999999974,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,5.375,1,nonuniform_instability,0.2993782869150946,-0.09999999999999996,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,5.583333333333334,1,nonuniform_instability,0.3207269356481642,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,5.791666666666667,1,nonuniform_instability,0.3407329003256704,-0.10000000000000024,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.2015022294166535,6.0,1,nonuniform_instability,0.35962314550215313,-0.10000000000000021,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,1.0,1,stable_homogeneous,-0.09798914178545415,-0.10000000000003348,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,1.2083333333333333,1,stable_homogeneous,-0.09581323623316862,-0.1000000000000332,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,1.4166666666666667,1,stable_homogeneous,-0.09203402886232721,-0.09999999999997085,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,1.625,1,stable_homogeneous,-0.08584452781053269,-0.10000000000003312,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,1.8333333333333335,1,stable_homogeneous,-0.0762213288800039,-0.10000000000007064,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,2.041666666666667,1,stable_homogeneous,-0.06235795338764266,-0.10000000000000837,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,2.25,1,stable_homogeneous,-0.044867288595544126,-0.10000000000002322,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,2.4583333333333335,1,stable_homogeneous,-0.02686587986744243,-0.09999999999997738,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,2.666666666666667,1,stable_homogeneous,-0.012153895400790996,-0.10000000000000232,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,2.875,1,stable_homogeneous,-0.0015273011279886178,-0.09999999999999969,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,3.0833333333333335,1,nonuniform_instability,0.010870921200657952,-0.09999999999999913,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,3.291666666666667,1,nonuniform_instability,0.03963565785384256,-0.09999999999999967,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,3.5,1,nonuniform_instability,0.07966833006521161,-0.09999999999999973,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,3.7083333333333335,1,nonuniform_instability,0.12152005230426345,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,3.916666666666667,1,nonuniform_instability,0.1601032502970821,-0.10000000000000034,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,4.125,1,nonuniform_instability,0.19422514321891532,-0.1000000000000002,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,4.333333333333334,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,4.541666666666667,1,nonuniform_instability,0.25133370717868353,-0.09999999999999995,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,4.75,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,4.958333333333334,0,no_positive_fixed_point,,,
