time,mean_D,std_D,cv_D,relative_contrast_D,q_amp,moran_D
111.0,0.08073663884447287,0.04171440718946409,0.5166725762490645,1.096028046956511,0.1334752755239227,-0.5
111.5,0.08084843855839487,0.041905730213428916,0.5183245460351275,1.0995324040706327,0.13433016751126045,-0.4999999999999999
112.0,0.08095763746581386,0.042091332227494775,0.5199179910020073,1.1029126112952172,0.13515735868378165,-0.4999999999999999
112.5,0.08106426582763601,0.04227136543677368,0.5214549839586994,1.106173065722156,0.1359576501476837,-0.5
113.0,0.08116835563950286,0.04244597954170232,0.5229375315944529,1.1093180241821763,0.13673183097504968,-0.4999999999999999
113.5,0.08126994044697858,0.04261532162031971,0.5243675753413702,1.1123516050746924,0.1374806770346938,-0.5
114.0,0.08136905517418273,0.042779536032829885,0.52574699240705,1.1152777905583722,0.13820495001252936,-0.5
114.5,0.08146573596401671,0.0429387643457305,0.5270775969506553,1.1181004290459544,0.13890539660363868,-0.4999999999999999
115.0,0.08156002002500957,0.0430931452717418,0.5283611413843169,1.120823237964944,0.13958274786246902,-0.4999999999999999
115.5,0.08165194547954521,0.0432428146217064,0.5295993177840355,1.1234498067505825,0.1402377186986579,-0.5
116.0,0.08174155122446039,0.0433879052710542,0.5307937593686229,1.1259835999831618,0.1408710074923378,-0.5
116.5,0.08182887679506873,0.04352854713610941,0.5319460420448124,1.1284279606656935,0.1414832958235707,-0.5
117.0,0.08191396238152515,0.043664867217841165,0.5330576857516213,1.1307861130757375,0.1420752481694371,-0.4999999999999999
117.5,0.08199684854900807,0.04379698953576808,0.534130156350965,1.1330611667759942,0.14264751196175313,-0.5
118.0,0.08207757610771418,0.043925035124235824,0.5351648672786216,1.1352561201165359,0.1432007175846723,-0.4999999999999999
118.5,0.08215618620451878,0.0440491221221045,0.5361631808522497,1.1373738630095254,0.1437354782508011,-0.5
119.0,0.08223272020338869,0.04416936578299029,0.5371264099466108,1.1394171804829016,0.14425239013106725,-0.4999999999999999
119.5,0.0823072194474139,0.04428587843906722,0.5380558198465383,1.1413887566111238,0.14475203263536524,-0.5
120.0,0.08237972537848032,0.04439876961152706,0.5389526295158681,1.1432911772069745,0.14523496843103426,-0.4999999999999999
120.5,0.08245027940791722,0.04450814602324228,0.5398180132664102,1.1451269333619847,0.14570174372344705,-0.4999999999999998
121.0,0.08251892257768503,0.04461411152439357,0.5406531027158397,1.1468984255997516,0.14615288873813218,-0.5000000000000001
121.5,0.08258569605413126,0.04471676736164894,0.5414589874297249,1.1486079652378804,0.14658891753421152,-0.5000000000000002
122.0,0.08265064057675636,0.04481621201806089,0.5422367171666476,1.1502577791506048,0.14701032872183145,-0.4999999999999999
122.5,0.0827137968914785,0.04491254145926733,0.5429873025680726,1.1518500112322267,0.14741760537507584,-0.5000000000000001
123.0,0.08277520500100713,0.045005848889138646,0.5437117176404583,1.1533867276624603,0.14781121594976873,-0.4999999999999999
123.5,0.08283490481939546,0.045096225087907414,0.5444109000454639,1.1548699175220571,0.14819161404415604,-0.5
124.0,0.0828929357714569,0.045183758311177234,0.5450857529736047,1.1563014967674325,0.14855923904740082,-0.5
124.5,0.08294933716182815,0.045268534510210866,0.5457371458182388,1.1576833096604044,0.14891451616291884,-0.5
125.0,0.08300414720078576,0.04535063698545463,0.5463659168228321,1.1590171343838889,0.14925785753282694,-0.5
125.5,0.08305740417349762,0.04543014694365526,0.5469728725058246,1.1603046818218599,0.14958966162863652,-0.5
