sample_id,lam_D,lam_N,lam_ASC,Kd,n_d,n_ASC,d_D,d_N,d_A,d_ASC,f_D,f_N,k_cis,n_branches,classification,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,D_star,N_star,A_star,ASC_star
1827,4.278200684384202,0.13922005022383271,0.12063765122191239,0.24329292797303714,3.881745326685214,3.3760389200993184,0.14122623500305925,0.06495023464029345,5.07767648470506,0.2668555101030687,0.10124867650961032,5.199591775024476,0.11524804688792563,1,stable_homogeneous,-0.14123097011686433,-0.1412262065271618,5.863703305156273,27.756948366926082,0.00016016799147468752,0.02731510777526604,0.4517901061342791
1828,9.99733593288064,0.5573006954548188,2.811293904974525,0.2424313863020159,5.547001206661236,1.9935224538454868,0.19394734354756124,0.08519697263195655,0.20798034561034218,0.26229327377345407,0.013354032674978592,0.3716774667278926,1.6254596976857454,1,nonuniform_instability,0.09032734938921838,-0.17807379084406993,-3.0,29.27637403004389,0.004933568421372742,1.5487225783401883,0.25937459309349553
1829,0.6091493058312751,4.3806650870149815,0.5155493361840155,0.1532344106915664,4.7042494500932674,1.9695055950652636,0.141477775642811,0.025221136825800083,9.066475586310618,0.755727111545922,0.009831100770097372,3.1331229428278,0.7411664616990414,0,no_positive_fixed_point,,,,,,,
1830,3.8308157198342108,0.10021776755221105,0.3431194603620698,0.14048039045276248,1.7852995202926687,1.6449243469423773,0.04256242476811302,0.28124981236573054,2.4411527073869492,0.7989472746855707,0.014783604785982915,3.8709193096068706,0.9237678739618144,1,stable_homogeneous,-0.04251569042163528,-0.04256270507118502,-3.0,76.98928304688724,5.389450695954689e-05,0.039477096171920335,0.38210716394211913
1831,3.1613806389552184,1.0742393376056958,0.203986046424963,1.166051959946652,3.4485034758523883,1.075890036924568,0.041696776210336975,0.47466943192129624,2.327261291535366,0.04897116939116575,0.005200409307805878,0.2527804125104845,0.4882283369947561,1,stable_homogeneous,-0.04176983710533297,-0.04173228319475316,5.863703305156273,67.07117646227384,0.007960489254036838,0.3479567029729202,3.2740949235392476
1832,9.85734773935773,0.49832003119997936,4.927012325118889,0.3590579824580771,2.2209566622203836,1.2475379201606331,0.6158791176296113,0.19153724575500744,1.7637791264073324,0.01968333687332789,0.10512409136318426,0.18069853991012327,2.882545246319553,0,no_positive_fixed_point,,,,,,,
1833,3.8186170448791876,0.3408053534793978,8.479380506390582,0.14479052133074144,2.986814776512451,3.1096532454982055,0.16074004073022602,0.1486996753608615,4.364716692964768,0.030148299748960196,0.44530018741518085,1.8346431169008988,0.8750516607504588,1,stable_homogeneous,-0.03014829974813459,-0.03014829974896352,-3.0,23.123966304936836,0.0012396135090786927,0.07229286144260583,252.16977518153487
1834,12.713067541573071,1.4181226340042525,0.3246813537402782,0.18957004107325276,4.772735024690455,4.163670336622385,0.020977424504126454,0.387343604254138,0.4188494886667696,0.05850745391351992,0.02592047805971894,0.9786383644653335,0.28348461837322514,1,nonuniform_instability,0.22284722855499653,-0.08104665611939518,-3.0,0.014088174539554552,2.9914364842675543,0.5908129517699173,0.0484082165130875
1835,2.599516608113741,0.6629944574687046,0.17356322515750897,1.5469094521616042,2.4896827610499708,2.226791578559103,0.0919542218364877,0.7389388433364935,0.8970590854829,0.014033439087768752,0.017050216372806674,2.2602930353891857,0.07897605634433023,1,stable_homogeneous,-0.014032204524527784,-0.014033683927405928,-3.0,27.929893570929394,0.0017368461382769771,0.7333741135318763,10.395215474339551
1836,1.7277397438509712,7.026893226085824,0.10462770031579426,0.1478115763937976,2.1671983905239327,4.925480449053369,0.3526425268158342,0.3124907296100936,0.15756147214494237,0.13233914325380322,0.0638051324628277,0.4604044810894067,1.7866696852216126,1,nonuniform_instability,0.17967811960072172,-0.14277007514953527,-3.0,0.000757521150988558,22.24145452875038,0.2953919894606847,0.025281328385438756
