parameter,tier,multiplier,value,n_branches,branch,D_star,N_star,A_star,ASC_star,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,oscillatory
lam_N,tier1,0.7071067811865476,0.7071067811865476,1,0,47.14910818767259,0.003794733615478135,0.6441059008025315,0.9176751318072949,-0.08110005482323214,-0.10000000000010205,-3.0,False
lam_N,tier1,0.8408964152537145,0.8408964152537145,1,0,42.16171962753181,0.005046222446124794,0.765926697426017,0.5668385870658514,-0.06172584818907273,-0.10000000000000822,-3.0,False
lam_N,tier1,1.0,1.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
lam_N,tier1,1.189207115002721,1.189207115002721,1,0,10.69698972464954,0.028078389792450992,1.0812752895403832,0.20911108382567314,-0.00725840273499487,-0.10000000000001039,-3.0,False
lam_N,tier1,1.414213562373095,1.414213562373095,1,0,1.5313237485353626,0.23000096553761876,1.2679413865695188,0.13072287024938495,0.004692083755048976,-0.0999999999999985,-3.0,False
lam_N,tier1,1.681792830507429,1.681792830507429,1,0,0.16598846018318106,2.225611061169858,1.3299327108368597,0.11347971126321563,0.044325259702528666,-0.10000000000000034,-3.0,False
lam_N,tier1,2.0,2.0,1,0,0.06935746113696165,5.348137384199315,1.335359630807151,0.11211722608728322,0.10306671935147543,-0.10000000000000016,-3.0,False
lam_N,tier2,0.1,0.1,1,0,49.834060049700646,0.0005077571656649648,0.09109296390388877,9.727667512448024,-0.09997298885482025,-0.09999999999997082,-3.0,False
lam_N,tier2,0.1778279410038923,0.1778279410038923,1,0,49.705427560799095,0.0009052696233556685,0.16198852925306434,8.639827217527976,-0.09989926476959253,-0.10000000000000189,-3.0,False
lam_N,tier2,0.31622776601683794,0.31622776601683794,1,0,49.47084674193736,0.0016174518813326427,0.2880601708818574,5.304221922609794,-0.09936752954913292,-0.09999999999993943,-3.0,False
lam_N,tier2,0.5623413251903491,0.5623413251903491,1,0,48.788322451628176,0.0029164982500801662,0.5122478053962601,1.6727307862942684,-0.0929738346698181,-0.0999999999999713,-3.0,False
lam_N,tier2,1.0,1.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
lam_N,tier2,1.7782794100389228,1.7782794100389228,1,0,0.11712356167356826,3.160609829389174,1.3326547690025365,0.11279358279878626,0.06392639201296348,-0.09999999999999983,-3.0,False
lam_N,tier2,3.1622776601683795,3.1622776601683795,1,0,0.021940391620226086,16.940965559282866,1.3380891076618566,0.11144015411429045,0.18400268693968122,-0.10000000000000002,-3.0,False
lam_N,tier2,5.623413251903491,5.623413251903491,1,0,0.008951978932637017,41.54403140826334,1.3388446581969025,0.11125369122352478,0.21630256268060435,-0.10000000000000031,-3.0,False
